Episode: 0, reward: 590, running reward: 590.0, frames: 1676, total frames: 1676
Episode: 1, reward: 460, running reward: 525.0, frames: 1324, total frames: 3000
Episode: 2, reward: 330, running reward: 460.0, frames: 848, total frames: 3848
Episode: 3, reward: 90, running reward: 367.5, frames: 516, total frames: 4364
Episode: 4, reward: 720, running reward: 438.0, frames: 3088, total frames: 7452
Episode: 5, reward: 180, running reward: 395.0, frames: 512, total frames: 7964
Episode: 6, reward: 340, running reward: 387.14285714285717, frames: 1248, total frames: 9212
Episode: 7, reward: 670, running reward: 422.5, frames: 2328, total frames: 11540
Episode: 8, reward: 450, running reward: 425.55555555555554, frames: 1396, total frames: 12936
Episode: 9, reward: 100, running reward: 393.0, frames: 292, total frames: 13228
Episode: 10, reward: 380, running reward: 391.8181818181818, frames: 1256, total frames: 14484
Episode: 11, reward: 530, running reward: 403.3333333333333, frames: 1116, total frames: 15600
Episode: 12, reward: 1450, running reward: 483.84615384615387, frames: 3872, total frames: 19472
Episode: 13, reward: 410, running reward: 478.57142857142856, frames: 980, total frames: 20452
Episode: 14, reward: 610, running reward: 487.3333333333333, frames: 1516, total frames: 21968
Episode: 15, reward: 520, running reward: 489.375, frames: 1296, total frames: 23264
Episode: 16, reward: 870, running reward: 511.7647058823529, frames: 2264, total frames: 25528
Episode: 17, reward: 100, running reward: 488.8888888888889, frames: 256, total frames: 25784
Episode: 18, reward: 640, running reward: 496.8421052631579, frames: 2336, total frames: 28120
Episode: 19, reward: 840, running reward: 514.0, frames: 2044, total frames: 30164
Episode: 20, reward: 460, running reward: 511.42857142857144, frames: 1168, total frames: 31332
Episode: 21, reward: 480, running reward: 510.0, frames: 872, total frames: 32204
Episode: 22, reward: 880, running reward: 526.0869565217391, frames: 2560, total frames: 34764
Episode: 23, reward: 940, running reward: 543.3333333333334, frames: 2268, total frames: 37032
Episode: 24, reward: 180, running reward: 528.8, frames: 560, total frames: 37592
Episode: 25, reward: 310, running reward: 520.3846153846154, frames: 940, total frames: 38532
Episode: 26, reward: 480, running reward: 518.8888888888889, frames: 1084, total frames: 39616
Episode: 27, reward: 340, running reward: 512.5, frames: 1036, total frames: 40652
Episode: 28, reward: 530, running reward: 513.1034482758621, frames: 1588, total frames: 42240
Episode: 29, reward: 680, running reward: 518.6666666666666, frames: 2160, total frames: 44400
Episode: 30, reward: 110, running reward: 505.48387096774195, frames: 560, total frames: 44960
Episode: 31, reward: 880, running reward: 517.1875, frames: 2820, total frames: 47780
Episode: 32, reward: 820, running reward: 526.3636363636364, frames: 2160, total frames: 49940
Episode: 33, reward: 300, running reward: 519.7058823529412, frames: 960, total frames: 50900
Episode: 34, reward: 430, running reward: 517.1428571428571, frames: 1668, total frames: 52568
Episode: 35, reward: 490, running reward: 516.3888888888889, frames: 1492, total frames: 54060
Episode: 36, reward: 160, running reward: 506.7567567567568, frames: 668, total frames: 54728
Episode: 37, reward: 350, running reward: 502.63157894736844, frames: 1036, total frames: 55764
Episode: 38, reward: 520, running reward: 503.0769230769231, frames: 1536, total frames: 57300
Episode: 39, reward: 280, running reward: 497.5, frames: 800, total frames: 58100
Episode: 40, reward: 550, running reward: 498.780487804878, frames: 1560, total frames: 59660
Episode: 41, reward: 560, running reward: 500.23809523809524, frames: 1424, total frames: 61084
Episode: 42, reward: 350, running reward: 496.74418604651163, frames: 896, total frames: 61980
Episode: 43, reward: 480, running reward: 496.3636363636364, frames: 1264, total frames: 63244
Episode: 44, reward: 910, running reward: 505.55555555555554, frames: 2664, total frames: 65908
Episode: 45, reward: 290, running reward: 500.8695652173913, frames: 948, total frames: 66856
Episode: 46, reward: 620, running reward: 503.40425531914894, frames: 1760, total frames: 68616
Episode: 47, reward: 470, running reward: 502.7083333333333, frames: 2072, total frames: 70688
Episode: 48, reward: 150, running reward: 495.51020408163265, frames: 512, total frames: 71200
Episode: 49, reward: 130, running reward: 488.2, frames: 484, total frames: 71684
Episode: 50, reward: 250, running reward: 483.52941176470586, frames: 672, total frames: 72356
Episode: 51, reward: 360, running reward: 481.15384615384613, frames: 900, total frames: 73256
Episode: 52, reward: 520, running reward: 481.8867924528302, frames: 2036, total frames: 75292
Episode: 53, reward: 280, running reward: 478.14814814814815, frames: 868, total frames: 76160
Episode: 54, reward: 380, running reward: 476.3636363636364, frames: 1720, total frames: 77880
Episode: 55, reward: 600, running reward: 478.57142857142856, frames: 1936, total frames: 79816
Episode: 56, reward: 750, running reward: 483.3333333333333, frames: 2496, total frames: 82312
Episode: 57, reward: 580, running reward: 485.0, frames: 2404, total frames: 84716
Episode: 58, reward: 380, running reward: 483.22033898305085, frames: 944, total frames: 85660
Episode: 59, reward: 740, running reward: 487.5, frames: 2336, total frames: 87996
Episode: 60, reward: 340, running reward: 485.08196721311475, frames: 1372, total frames: 89368
Episode: 61, reward: 560, running reward: 486.2903225806452, frames: 1808, total frames: 91176
Episode: 62, reward: 350, running reward: 484.12698412698415, frames: 1912, total frames: 93088
Episode: 63, reward: 360, running reward: 482.1875, frames: 1052, total frames: 94140
Episode: 64, reward: 670, running reward: 485.0769230769231, frames: 2640, total frames: 96780
Episode: 65, reward: 430, running reward: 484.24242424242425, frames: 1176, total frames: 97956
Episode: 66, reward: 560, running reward: 485.3731343283582, frames: 2560, total frames: 100516
Episode: 67, reward: 670, running reward: 488.0882352941176, frames: 2300, total frames: 102816
Episode: 68, reward: 410, running reward: 486.95652173913044, frames: 976, total frames: 103792
Episode: 69, reward: 520, running reward: 487.42857142857144, frames: 1332, total frames: 105124
Episode: 70, reward: 700, running reward: 490.4225352112676, frames: 1664, total frames: 106788
Episode: 71, reward: 180, running reward: 486.1111111111111, frames: 628, total frames: 107416
Episode: 72, reward: 120, running reward: 481.09589041095893, frames: 568, total frames: 107984
Episode: 73, reward: 720, running reward: 484.3243243243243, frames: 3092, total frames: 111076
Episode: 74, reward: 750, running reward: 487.8666666666667, frames: 2004, total frames: 113080
Episode: 75, reward: 460, running reward: 487.5, frames: 1684, total frames: 114764
Episode: 76, reward: 400, running reward: 486.3636363636364, frames: 1100, total frames: 115864
Episode: 77, reward: 290, running reward: 483.84615384615387, frames: 684, total frames: 116548
Episode: 78, reward: 470, running reward: 483.67088607594934, frames: 1264, total frames: 117812
Episode: 79, reward: 270, running reward: 481.0, frames: 800, total frames: 118612
Episode: 80, reward: 510, running reward: 481.358024691358, frames: 1464, total frames: 120076
Episode: 81, reward: 580, running reward: 482.5609756097561, frames: 1860, total frames: 121936
Episode: 82, reward: 290, running reward: 480.2409638554217, frames: 820, total frames: 122756
Episode: 83, reward: 470, running reward: 480.1190476190476, frames: 1152, total frames: 123908
Episode: 84, reward: 200, running reward: 476.8235294117647, frames: 688, total frames: 124596
Episode: 85, reward: 100, running reward: 472.4418604651163, frames: 660, total frames: 125256
Episode: 86, reward: 740, running reward: 475.51724137931035, frames: 2088, total frames: 127344
Episode: 87, reward: 640, running reward: 477.3863636363636, frames: 1988, total frames: 129332
Episode: 88, reward: 200, running reward: 474.2696629213483, frames: 632, total frames: 129964
Episode: 89, reward: 230, running reward: 471.55555555555554, frames: 800, total frames: 130764
Episode: 90, reward: 200, running reward: 468.57142857142856, frames: 1088, total frames: 131852
Episode: 91, reward: 530, running reward: 469.2391304347826, frames: 1724, total frames: 133576
Episode: 92, reward: 400, running reward: 468.494623655914, frames: 1376, total frames: 134952
Episode: 93, reward: 510, running reward: 468.93617021276594, frames: 1580, total frames: 136532
Episode: 94, reward: 520, running reward: 469.4736842105263, frames: 1544, total frames: 138076
Episode: 95, reward: 510, running reward: 469.8958333333333, frames: 1800, total frames: 139876
Episode: 96, reward: 530, running reward: 470.5154639175258, frames: 1752, total frames: 141628
Episode: 97, reward: 320, running reward: 468.9795918367347, frames: 1116, total frames: 142744
Episode: 98, reward: 660, running reward: 470.90909090909093, frames: 1744, total frames: 144488
Episode: 99, reward: 530, running reward: 471.5, frames: 2300, total frames: 146788
Episode: 100, reward: 1620, running reward: 481.8, frames: 4172, total frames: 150960
Episode: 101, reward: 340, running reward: 480.6, frames: 888, total frames: 151848
Episode: 102, reward: 220, running reward: 479.5, frames: 528, total frames: 152376
Episode: 103, reward: 450, running reward: 483.1, frames: 1160, total frames: 153536
Episode: 104, reward: 1150, running reward: 487.4, frames: 3056, total frames: 156592
Episode: 105, reward: 410, running reward: 489.7, frames: 840, total frames: 157432
Episode: 106, reward: 710, running reward: 493.4, frames: 2560, total frames: 159992
Episode: 107, reward: 720, running reward: 493.9, frames: 2740, total frames: 162732
Episode: 108, reward: 500, running reward: 494.4, frames: 1216, total frames: 163948
Episode: 109, reward: 580, running reward: 499.2, frames: 1860, total frames: 165808
Episode: 110, reward: 930, running reward: 504.7, frames: 2796, total frames: 168604
Episode: 111, reward: 740, running reward: 506.8, frames: 2664, total frames: 171268
Episode: 112, reward: 600, running reward: 498.3, frames: 2096, total frames: 173364
Episode: 113, reward: 830, running reward: 502.5, frames: 2260, total frames: 175624
Episode: 114, reward: 130, running reward: 497.7, frames: 332, total frames: 175956
Episode: 115, reward: 740, running reward: 499.9, frames: 2268, total frames: 178224
Episode: 116, reward: 560, running reward: 496.8, frames: 1412, total frames: 179636
Episode: 117, reward: 430, running reward: 500.1, frames: 1360, total frames: 180996
Episode: 118, reward: 450, running reward: 498.2, frames: 1292, total frames: 182288
Episode: 119, reward: 490, running reward: 494.7, frames: 1492, total frames: 183780
Episode: 120, reward: 620, running reward: 496.3, frames: 2400, total frames: 186180
Episode: 121, reward: 660, running reward: 498.1, frames: 2236, total frames: 188416
Episode: 122, reward: 180, running reward: 491.1, frames: 668, total frames: 189084
Episode: 123, reward: 800, running reward: 489.7, frames: 3104, total frames: 192188
Episode: 124, reward: 590, running reward: 493.8, frames: 2020, total frames: 194208
Episode: 125, reward: 710, running reward: 497.8, frames: 2424, total frames: 196632
Episode: 126, reward: 220, running reward: 495.2, frames: 484, total frames: 197116
Episode: 127, reward: 330, running reward: 495.1, frames: 900, total frames: 198016
Episode: 128, reward: 670, running reward: 496.5, frames: 1660, total frames: 199676
Episode: 129, reward: 490, running reward: 494.6, frames: 1944, total frames: 201620
Episode: 130, reward: 470, running reward: 498.2, frames: 1764, total frames: 203384
Episode: 131, reward: 500, running reward: 494.4, frames: 1384, total frames: 204768
Episode: 132, reward: 560, running reward: 491.8, frames: 1304, total frames: 206072
Episode: 133, reward: 610, running reward: 494.9, frames: 1304, total frames: 207376
Episode: 134, reward: 160, running reward: 492.2, frames: 648, total frames: 208024
Episode: 135, reward: 500, running reward: 492.3, frames: 1344, total frames: 209368
Episode: 136, reward: 470, running reward: 495.4, frames: 1208, total frames: 210576
Episode: 137, reward: 700, running reward: 498.9, frames: 2640, total frames: 213216
Episode: 138, reward: 200, running reward: 495.7, frames: 540, total frames: 213756
Episode: 139, reward: 350, running reward: 496.4, frames: 872, total frames: 214628
Episode: 140, reward: 440, running reward: 495.3, frames: 1604, total frames: 216232
Episode: 141, reward: 680, running reward: 496.5, frames: 1980, total frames: 218212
Episode: 142, reward: 300, running reward: 496.0, frames: 1144, total frames: 219356
Episode: 143, reward: 380, running reward: 495.0, frames: 868, total frames: 220224
Episode: 144, reward: 400, running reward: 489.9, frames: 1096, total frames: 221320
